Year,Month,Day,Hour,TwitterVolume
2011,10,28,11,96963
2011,10,28,12,88506
2011,10,28,13,89618
2011,10,28,14,89965
2011,10,28,15,92152
2011,10,28,16,95645
2011,10,28,17,95020
2011,10,28,18,96777
2011,10,28,19,98186
2011,10,28,20,98894
2011,10,28,21,93539
2011,10,28,22,76634
2011,10,28,23,63073
2011,10,29,00,55964
2011,10,29,01,50336
2011,10,29,02,51668
2011,10,29,03,53151
2011,10,29,04,59134
2011,10,29,05,69505
2011,10,29,06,87009
2011,10,29,07,107527
2011,10,29,08,119214
2011,10,29,09,117347
2011,10,29,10,111016
2011,10,29,11,102191
2011,10,29,12,87503
2011,10,29,13,91577
2011,10,29,14,91059
2011,10,29,15,88659
2011,10,29,16,88815
2011,10,29,17,91359
2011,10,29,18,91010
2011,10,29,19,95862
2011,10,29,20,93856
2011,10,29,21,90374
2011,10,29,22,80789
2011,10,29,23,70216
2011,10,30,00,60155
2011,10,30,01,56871
2011,10,30,02,57292
2011,10,30,03,58783
2011,10,30,04,61266
2011,10,30,05,68214
2011,10,30,06,81378
2011,10,30,07,97617
2011,10,30,08,115089
2011,10,30,09,116553
2011,10,30,10,107437
2011,10,30,11,101593
2011,10,30,12,99474
2011,10,30,13,100601
2011,10,30,14,103941
2011,10,30,15,101436
2011,10,30,16,108285
2011,10,30,17,107030
2011,10,30,18,104824
2011,10,30,19,106829
2011,10,30,20,103446
2011,10,30,21,92097
2011,10,30,22,74046
2011,10,30,23,59656
2011,10,31,00,54465
2011,10,31,01,50040
2011,10,31,02,51206
2011,10,31,03,55423
2011,10,31,04,65433
2011,10,31,05,76533
2011,10,31,06,90780
2011,10,31,07,102815
2011,10,31,08,113248
2011,10,31,09,117709
2011,10,31,10,107216
2011,10,31,11,97968
2011,10,31,12,91500
2011,10,31,13,91840
2011,10,31,14,95637
2011,10,31,15,100241
2011,10,31,16,107183
2011,10,31,17,110294
2011,10,31,18,104311
2011,10,31,19,103059
2011,10,31,20,97540
2011,10,31,21,90331
2011,10,31,22,72246
2011,10,31,23,57312
2011,11,01,00,50505
2011,11,01,01,49962
2011,11,01,02,49724
2011,11,01,03,54221
2011,11,01,04,63008
2011,11,01,05,77290
2011,11,01,06,87403
2011,11,01,07,102088
2011,11,01,08,113284
2011,11,01,09,114590
2011,11,01,10,107250
2011,11,01,11,94054
2011,11,01,12,90069
2011,11,01,13,90992
2011,11,01,14,98379
2011,11,01,15,103297
2011,11,01,16,111192
2011,11,01,17,111720
2011,11,01,18,114289
2011,11,01,19,114367
2011,11,01,20,110951
2011,11,01,21,85261
2011,11,01,22,75890
2011,11,01,23,61388
2011,11,02,00,54985
2011,11,02,01,50765
2011,11,02,02,50928
2011,11,02,03,54784
2011,11,02,04,64284
2011,11,02,05,73498
2011,11,02,06,87390
2011,11,02,07,102403
2011,11,02,08,115340
2011,11,02,09,115318
2011,11,02,10,108384
2011,11,02,11,97391
2011,11,02,12,93767
2011,11,02,13,93356
2011,11,02,14,99764
2011,11,02,15,105002
2011,11,02,16,107728
2011,11,02,17,113627
2011,11,02,18,115677
2011,11,02,19,118033
2011,11,02,20,110280
2011,11,02,21,98474
2011,11,02,22,77554
2011,11,02,23,63527
2011,11,03,00,55319
2011,11,03,01,52707
2011,11,03,02,51888
